IdSklep;Sklep;Data;WartoscsprzedazyBrutto;IloscdDkumentowSprzedazy;SredniaWartoscKoszyka;IloscIndeksow
3;003 - Sklep Los Angeles;2016-04-07;1387.82;64;21.68;131
3;003 - Sklep Los Angeles;2016-04-08;2007.24;81;24.78;240
3;003 - Sklep Los Angeles;2016-04-11;2863.84;132;21.7;378.25
3;003 - Sklep Los Angeles;2016-04-12;1771.95;62;28.58;151
3;003 - Sklep Los Angeles;2016-04-13;2343.72;75;31.25;216
3;003 - Sklep Los Angeles;2016-04-14;1512.27;72;21;212
3;003 - Sklep Los Angeles;2016-04-15;2354.26;76;30.98;170
3;003 - Sklep Los Angeles;2016-04-18;3501.27;144;24.31;373
3;003 - Sklep Los Angeles;2016-04-19;2955.9;66;44.79;196
3;003 - Sklep Los Angeles;2016-04-20;1306.64;60;21.78;103.9
3;003 - Sklep Los Angeles;2016-04-21;1566.31;55;28.48;138.65
3;003 - Sklep Los Angeles;2016-04-22;2452.31;68;36.06;176
3;003 - Sklep Los Angeles;2016-04-25;2884.06;109;26.46;262.3
3;003 - Sklep Los Angeles;2016-04-26;1883.51;51;36.93;161.9
3;003 - Sklep Los Angeles;2016-04-27;1557.12;55;28.31;154
3;003 - Sklep Los Angeles;2016-04-28;1311.82;61;21.51;143
3;003 - Sklep Los Angeles;2016-04-29;2611.6;67;38.98;274
3;003 - Sklep Los Angeles;2016-04-30;2176.68;83;26.23;251
3;003 - Sklep Los Angeles;2016-05-04;11290.28;164;68.84;450.9
3;003 - Sklep Los Angeles;2016-05-05;2125.55;78;27.25;271.2
3;003 - Sklep Los Angeles;2016-05-06;2423.55;75;32.31;180
3;003 - Sklep Los Angeles;2016-05-07;2246;65;34.55;179
3;003 - Sklep Los Angeles;2016-05-09;1842.75;59;31.23;174
3;003 - Sklep Los Angeles;2016-05-10;2280.69;79;28.87;236
3;003 - Sklep Los Angeles;2016-05-11;1847.33;74;24.96;229.4
3;003 - Sklep Los Angeles;2016-05-12;1863.11;66;28.23;171.5
3;003 - Sklep Los Angeles;2016-05-13;2382.5;90;26.47;216.8
3;003 - Sklep Los Angeles;2016-05-14;2739.57;88;31.13;283.8
3;003 - Sklep Los Angeles;2016-05-16;2101.06;71;29.59;156.6
3;003 - Sklep Los Angeles;2016-05-17;2081.72;57;36.52;174.77
3;003 - Sklep Los Angeles;2016-05-18;1977.68;66;29.96;174.5
3;003 - Sklep Los Angeles;2016-05-19;2968.976;91;32.63;218.4
3;003 - Sklep Los Angeles;2016-05-20;2468.5;91;27.13;263.65
3;003 - Sklep Los Angeles;2016-05-21;2284.67;83;27.53;224.6
3;003 - Sklep Los Angeles;2016-05-23;2427.68;92;26.39;273.1
3;003 - Sklep Los Angeles;2016-05-24;2162.83;86;25.15;224
3;003 - Sklep Los Angeles;2016-05-27;7811.43;206;37.92;568.9
3;003 - Sklep Los Angeles;2016-05-28;1768.912;72;24.57;217.55
3;003 - Sklep Los Angeles;2016-05-30;934.09;61;15.31;140
3;003 - Sklep Los Angeles;2016-05-31;1933.21;71;27.23;216
3;003 - Sklep Los Angeles;2016-06-01;2713.9;81;33.5;196.1
3;003 - Sklep Los Angeles;2016-06-02;2448.83;62;39.5;264
3;003 - Sklep Los Angeles;2016-06-03;2728.93;79;34.54;333.5
3;003 - Sklep Los Angeles;2016-06-04;2049.92;74;27.7;238
3;003 - Sklep Los Angeles;2016-06-06;2310.1;84;27.5;234
3;003 - Sklep Los Angeles;2016-06-07;1628.98;59;27.61;162
3;003 - Sklep Los Angeles;2016-06-08;2356.72;84;28.06;208.95
3;003 - Sklep Los Angeles;2016-06-09;1856.04;74;25.08;168.9
3;003 - Sklep Los Angeles;2016-06-10;2227.14;88;25.31;242.5
3;003 - Sklep Los Angeles;2016-06-15;10314.78;354;29.14;1181.9
3;003 - Sklep Los Angeles;2016-06-16;1888.76;85;22.22;217
3;003 - Sklep Los Angeles;2016-06-17;1497.82;61;24.55;171
3;003 - Sklep Los Angeles;2016-06-18;1457.35;71;20.53;160
3;003 - Sklep Los Angeles;2016-06-20;1930.46;92;20.98;320.5
3;003 - Sklep Los Angeles;2016-06-21;2832.57;79;35.86;212
3;003 - Sklep Los Angeles;2016-06-22;2144.46;79;27.15;179
3;003 - Sklep Los Angeles;2016-06-23;2449.31;78;31.4;181
3;003 - Sklep Los Angeles;2016-06-24;3729.08;96;38.84;243
3;003 - Sklep Los Angeles;2016-06-25;3634.98;101;35.99;269
3;003 - Sklep Los Angeles;2016-06-27;2762.5;92;30.03;306
3;003 - Sklep Los Angeles;2016-06-28;2079.94;79;26.33;240.5
3;003 - Sklep Los Angeles;2016-06-29;1423.47;84;16.95;199
3;003 - Sklep Los Angeles;2016-06-30;1540.12;86;17.91;228.2
3;003 - Sklep Los Angeles;2016-07-04;8322.4;359;23.18;1005.85
3;003 - Sklep Los Angeles;2016-07-05;2362.38;123;19.21;313
3;003 - Sklep Los Angeles;2016-07-06;3199.99;105;30.48;315
3;003 - Sklep Los Angeles;2016-07-08;5946.57;254;23.41;732.4
3;003 - Sklep Los Angeles;2016-07-09;3860.09;114;33.86;398.3
3;003 - Sklep Los Angeles;2016-07-11;2852.982;147;19.41;383.65
3;003 - Sklep Los Angeles;2016-07-12;4315.09;143;30.18;432
3;003 - Sklep Los Angeles;2016-07-13;3769.6801;149;25.3;460.49
3;003 - Sklep Los Angeles;2016-07-15;6228.81;265;23.5;1000.8
3;003 - Sklep Los Angeles;2016-07-16;738.14;14;52.72;100.85
3;003 - Sklep Los Angeles;2016-07-18;6017.69;236;25.5;734.5
3;003 - Sklep Los Angeles;2016-07-19;3132.662;152;20.61;440.1
3;003 - Sklep Los Angeles;2016-07-20;2322.16;111;20.92;372
3;003 - Sklep Los Angeles;2016-07-21;2592.97;121;21.43;382.3
3;003 - Sklep Los Angeles;2016-07-22;2539.06;125;20.31;371
3;003 - Sklep Los Angeles;2016-07-25;5321.18;220;24.19;660.1
3;003 - Sklep Los Angeles;2016-07-26;4290.3;158;27.15;503.45
3;003 - Sklep Los Angeles;2016-07-27;3729.55;136;27.42;489
3;003 - Sklep Los Angeles;2016-07-28;3261.63;132;24.71;391
3;003 - Sklep Los Angeles;2016-07-29;4336.7;152;28.53;503
3;003 - Sklep Los Angeles;2016-07-30;3249.47;114;28.5;393.9
3;003 - Sklep Los Angeles;2016-08-01;4467.33;175;25.53;537.9
3;003 - Sklep Los Angeles;2016-08-12;30900.48;1124;27.49;3165.45
3;003 - Sklep Los Angeles;2016-08-13;3358.19;115;29.2;400.5
3;003 - Sklep Los Angeles;2016-08-16;4309.21;129;33.4;412.4
3;003 - Sklep Los Angeles;2016-08-17;3354.4;131;25.61;443
3;003 - Sklep Los Angeles;2016-08-18;3843.19;129;29.79;392.1
3;003 - Sklep Los Angeles;2016-08-19;2528.81;110;22.99;353
3;003 - Sklep Los Angeles;2016-08-20;2261.04;85;26.6;218.6
3;003 - Sklep Los Angeles;2016-08-23;5648.03;239;23.63;681
3;003 - Sklep Los Angeles;2016-08-24;3213.81;141;22.79;461.1
3;003 - Sklep Los Angeles;2016-08-26;6508.46;239;27.23;852.1
3;003 - Sklep Los Angeles;2016-09-01;15866.86;614;25.84;2009.8
3;003 - Sklep Los Angeles;2016-09-03;6291.07;252;24.96;670.7
3;003 - Sklep Los Angeles;2016-09-06;5818.73;235;24.76;574
3;003 - Sklep Los Angeles;2016-09-07;3573.11;125;28.58;442
3;003 - Sklep Los Angeles;2016-09-09;7005.28;205;34.17;673
3;003 - Sklep Los Angeles;2016-09-10;4295.88;161;26.68;498.4
3;003 - Sklep Los Angeles;2016-09-12;669.38;57;11.74;117
3;003 - Sklep Los Angeles;2016-09-13;3719.57;91;40.87;245
3;003 - Sklep Los Angeles;2016-09-14;3816.02;125;30.53;288.8
3;003 - Sklep Los Angeles;2016-09-15;1861.26;74;25.15;192
3;003 - Sklep Los Angeles;2016-09-16;4137.13;157;26.35;385.3
3;003 - Sklep Los Angeles;2016-09-20;1643.72;65;25.29;155.1
3;003 - Sklep Los Angeles;2016-09-22;14754.91;488;30.24;1285.5
3;003 - Sklep Los Angeles;2016-09-26;10017.08;210;47.7;959
3;003 - Sklep Los Angeles;2016-09-27;3779.15;173;21.84;440
3;003 - Sklep Los Angeles;2016-09-28;2906.3;125;23.25;342
3;003 - Sklep Los Angeles;2016-09-30;8196.65;222;36.92;663.5
3;003 - Sklep Los Angeles;2016-10-03;3095.73;114;27.16;284
3;003 - Sklep Los Angeles;2016-10-05;7106.53;253;28.09;709.2
